id,name,slug
135,閃亮,_50
14,Deemo,deemo
303,撕衣服,_132
15,愛麗絲,""
137,眼神,_51
508,老鼠,_232
16,Alice,alice
139,抓狂,_52
308,不要,_134
141,反白,_53
311,thinking face,thinking-face
143,沮喪,_54
18,蹲角落,_1
144,Pepe the Frog,pepe-the-frog
20,摀臉,_2
757,飛走,_353
22,舉手,_3
146,佩佩蛙,_55
24,舉雙手,_4
147,YEE,yee
26,開心,_5
315,旋轉,_137
28,愛心,_6
149,大爆射,_56
30,イヴ,_7
516,杰哥,_236
32,臉紅,_8
33,Ib,ib
151,一本滿足,_57
35,跳舞,_9
36,ISIS,isis
37,ME!ME!ME!,mememe
38,NO,no
319,問號,_139
40,搖頭,_10
153,天線寶寶,_58
42,鸚鵡,_11
1089,錢,_497
44,驚訝,_12
155,亂晃,_59
46,死亡筆記本,_13
321,夫妻,_140
48,夕立,_14
157,三葉,_60
50,艦隊收藏,_15
518,杰哥不要,_237
52,艦娘,_16
53,QB,qb
159,你的名字,_61
55,魔法少女小圓,_17
56,Another,another
325,徐展元,_142
58,驚恐,_18
59,Minecraft,minecraft
161,辛巴,_62
61,苦力怕,_19
2951,Rainbow Sheep,rainbow-sheep
63,抹臉,_20
64,Gununu,gununu
163,丟,_63
66,不好意思,_21
327,好想贏韓國,_143
68,卡娜赫拉,_22
165,獅子王,_64
70,兔子,_23
524,浮出,_240
72,打臉,_24
167,滾,_65
74,受訪,_25
331,安全帽,_145
76,遮海苔,_26
77,LOL,lol
169,樓梯,_66
79,普羅,_27
80,okay,okay
1526,蛋蛋呢,_689
82,裁判,_28
83,save,save
171,跌倒,_67
85,手平舉,_29
86,Rage Comics,rage-comics
87,Y U NO,y-u-no
88,You dont say,you-dont-say
333,敲桌,_146
90,姚明,_30
173,上吊,_68
2802,眼睛發光,_1266
526,北極熊,_241
94,矮額,_32
175,彩虹,_69
96,反轉,_33
97,Reaction guy,reaction-guy
176,MLG Dancing Kid,mlg-dancing-kid
99,思考,_34
100,stare,stare
337,田中君總是如此慵懶,_148
102,害怕,_35
178,點頭,_70
104,流汗,_36
768,對稱,_358
106,電腦,_37
107,Computer stare,computer-stare
180,來互相傷害啊,_71
109,害羞,_38
339,宮野,_149
111,抓頭,_39
182,鴨子,_72
113,成龍,_40
528,探頭,_242
115,抿嘴,_41
184,佛系,_73
117,歐巴馬,_42
118,Forever Alone,forever-alone
343,土間埋,_151
120,焦慮,_43
186,你他媽的我到底看了三小,_74
122,不要玩,_44
1099,刷卡,_502
124,爾康,_45
125,Knowthatfeel,knowthatfeel
6610,茜100,100_2
127,擁抱,_46
345,我家有個魚乾妹,_152
129,翻桌,_47
190,大聲,_76
131,墨鏡,_48
540,廚,_248
133,貓,_49
347,小埋,_153
194,我買,_78
776,爬行,_362
196,吼,_79
353,拍手,_156
198,企鵝,_80
545,狐狸,_250
200,拍頭,_81
355,小女孩,_157
202,抱,_82
2065,大哭,_934
204,一群,_83
363,偷笑,_161
206,跳,_84
208,元首,_85
367,發抖,_163
210,生氣,_86
552,王者,_253
212,希特勒,_87
375,颯爽登場,_167
214,握拳,_88
782,賽亞人,_365
216,摔筆,_89
381,幹,_170
218,轉圈,_90
554,懶猴,_254
220,聽音樂,_91
389,睡覺,_174
222,嚼,_92
1109,數鈔票,_507
224,快速,_93
391,上床,_175
226,兵庫北,_94
556,搔癢,_255
228,笑,_95
393,後空翻,_176
230,花澤香菜,_96
1528,呆滯,_690
232,可是瑞凡,_97
234,哭,_98
5605,2,2
6041,><,_1539
236,唉呦不錯,_99
2114,大拇指,_955
238,劉謙,_100
305,雞翅,_133
240,小叮噹,_101
241,哆啦A夢,a
306,Didnt read lol,didnt-read-lol
243,噴茶,_102
510,煙火,_233
245,哈利波特,_103
310,甩頭,_135
759,進擊的巨人,_354
249,驚嚇,_105
313,拍照,_136
251,閃爍,_106
512,教授,_234
253,擦眼淚,_107
317,吃,_138
255,顏文字,_108
1091,一疊鈔票,_498
257,流淚,_109
323,奔跑,_141
259,唐老鴨,_110
520,脫眼鏡,_238
261,噗浪,_111
329,打巴掌,_144
263,肉骨獸,_112
765,安慰,_357
265,渡真利忍,_113
335,拉近,_147
